painting,rankAtSale,artist,yearOfPainting,adjustedPrice,originalPriceInDollars,dateOfSale,yearOfSale,seller,buyer,auctionHouse,image,paintingWikipediaProfile,artistWikipediaProfile,description,size,value,originalPrice,id
Darmstadt Madonna,29,Hans Holbein,1526,"$78,700,000 ","$75,000,000 ",12/7/11,2011,"Donatus, Hereditary Prince of Hesse",Reinhold Würth,Private sale,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Darmstadtmadonna.jpg/95px-Darmstadtmadonna.jpg,http://en.wikipedia.org/wiki/Darmstadt_Madonna,http://en.wikipedia.org/wiki/Hans_Holbein,"The Darmstadt Madonna (also known as the Madonna of Jakob Meyer zum Hasen) is an oil painting by Hans Holbein the Younger. Completed in 1526 in Basel, the work shows the Bürgermeister of Basel Jakob Meyer zum Hasen, his first wife (who had died earlier), his current wife, and his daughter grouped around the Madonna and infant Jesus. The meaning of the two other male figures on the left side is, like the overall iconography of the image, not entirely clear. The image testified to the resolutely Catholic faith of the Bürgermeister, who actively opposed the Reformation.",2500,78700000 ,75000000,11
Diana and Actaeon,26,Titian,1556,"$78,900,000 ","$70,600,000 ",1/2/09,2009,Duke of Sutherland,"National Galleries of Scotland & National Gallery, London",Private sale,http://www.nationalgallery.org.uk/upload/img/titian-diana-and-actaeon-NG6611-fm.jpg,http://en.wikipedia.org/wiki/Diana_and_Actaeon_(Titian),,"Diana and Actaeon is a painting by the Italian Renaissance master Titian, finished in 1556–1559, and is considered amongst Titian's greatest works. It portrays the moment in which the goddess Diana meets Actaeon. In 2008–2009, the National Gallery, London and National Gallery of Scotland successfully campaigned to acquire the painting from the Bridgewater Collection for £50 million. As a result, Diana and Actaeon will remain on display in the UK, and will alternate between the two galleries on five-year terms.",2500,78900000 ,70600000,12
Diana and Callisto,28,Titian,1556,"$74,100,000 ","$71,700,000 ",2/3/12,2012,Duke of Sutherland,"National Galleries of Scotland & National Gallery, London",Private sale,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/TitianDianaCallistoEdinburgh.jpg/95px-TitianDianaCallistoEdinburgh.jpg,http://en.wikipedia.org/wiki/Diana_and_Callisto,,Diana and Callisto is a painting completed between 1556 and 1559 by the Venetian artist Titian. It portrays the moment in which the goddess Diana discovers that her maid Callisto has become pregnant by Jupiter. The painting was jointly purchased by the National Gallery and the National Galleries of Scotland for £45 million in March 2012. The painting is currently on display at the National Gallery in London. There is a later version by Titian and his workshop in the Kunsthistorisches Museum in Vienna.,2500,74100000 ,71700000,13
Dora Maar au Chat,5,Pablo Picasso,1941,"$111,500,000 ","$95,200,000 ",3/5/06,2006,Gidwitz family,Boris Ivanishvili,Sotheby's,http://upload.wikimedia.org/wikipedia/en/c/c3/Dora_Maar_Au_Chat.jpg,http://en.wikipedia.org/wiki/Dora_Maar_au_Chat,http://en.wikipedia.org/wiki/Pablo_Picasso,"Dora Maar au Chat (Dora Maar with Cat) is a 1941 painting by Pablo Picasso. It depicts Dora Maar, the painter's lover, seated on a chair with a small cat perched on her shoulders. This work is one of the world's most expensive paintings.",2500,111500000 ,95200000,14
Eagle Standing on Pine Tree,38,Qi Baishi,1946,"$68,700,000 ","$65,500,000 ",22/05/2011,2011,Liu Yiqian,Hunan TV & Broadcast Intermediary Co,China Guardian Auctions,https://upload.wikimedia.org/wikipedia/commons/8/81/Qi_Baishi_Eagle.jpg,,http://en.wikipedia.org/wiki/Qi_Baishi,,2500,68700000 ,65500000,15
Eight Elvises,10,Andy Warhol,1963,"$109,500,000 ","$100,000,000 ",1/10/08,2008,Annibale Berlingieri,,Private sale,http://upload.wikimedia.org/wikipedia/en/b/be/Eight_Elvises.jpg,http://en.wikipedia.org/wiki/Eight_Elvises,http://en.wikipedia.org/wiki/Andy_Warhol,"Eight Elvises is a 1963 silkscreen painting by American pop artistAndy Warhol. In 2008 it was sold for $100 million to a private buyer, making the painting the most valuable work by Andy Warhol at the time. The current owner and location of the painting, which has not been seen publicly since the 1960s, are unknown.",2500,109500000 ,100000000,16
False Start,11,Jasper Johns,1959,"$94,000,000 ","$80,000,000 ",12/10/06,2006,David Geffen,Kenneth C. Griffin,Private sale,http://www.jasper-johns.org/images/paintings/false-start.jpg,,http://en.wikipedia.org/wiki/Jasper_Johns,,2500,94000000 ,80000000,17
Femme assise dans un jardin,13,Pablo Picasso,1938,"$69,700,000 ","$49,500,000 ",10/11/99,1999,Robert Saidenberg,,Sotheby's,http://webneel.com/sites/default/files/images/manual/paint-exp/29-femme-assise-dans-un-jardin.jpg,,,,2500,69700000 ,49500000,18
Femme aux Bras Croisés,13,Pablo Picasso,1902,"$74,900,000 ","$55,000,000 ",8/11/00,2000,"McCormick family, Chicago",,Christie's,http://upload.wikimedia.org/wikipedia/en/thumb/0/00/Pablo_Picasso%2C_1901-02%2C_Femme_aux_Bras_Crois%C3%A9s%2C_Woman_with_Folded_Arms_%28Madchenbildnis%29%2C_oil_on_canvas%2C_81_%C3%97_58_cm_%2832_%C3%97_23_in%29.jpg/95px-Pablo_Picasso%2C_1901-02%2C_Femme_aux_Bras_Crois%C3%A9s%2C_Woman_with_Folded_Arms_%28Madchenbildnis%29%2C_oil_on_canvas%2C_81_%C3%97_58_cm_%2832_%C3%97_23_in%29.jpg,http://en.wikipedia.org/wiki/Femme_aux_Bras_Crois%C3%A9s,,"Femme aux Bras Croisés (Woman with Folded Arms), is a painting by Pablo Picasso done in 1902 during his Blue Period. The subject of the painting is unknown, but she may be an inmate of the Saint-Lazare hospital-prison in Paris.",2500,74900000 ,55000000,19
Flag,7,Jasper Johns,1954,"$119,800,000 ","$110,000,000 ",1/3/10,2010,Jean-Christophe Castelli,Steven A. Cohen,Private sale,http://www.jasper-johns.org/images/paintings/flag.jpg,http://en.wikipedia.org/wiki/Flag_(painting),http://en.wikipedia.org/wiki/Jasper_Johns,"Flag is an encaustic painting by the American artist Jasper Johns. Created when Johns was 24 (1954–55), two years after he was discharged from the US Army, this painting was the first of many works that Johns has said were inspired by a dream of the U.S. flag in 1954. It is arguably the painting for which Johns is best known.",2500,119800000 ,110000000,20
Garçon à la pipe,3,Pablo Picasso,1905,"$130,600,000 ","$104,200,000 ",4/5/04,2004,Greentree foundation (Whitney family),Barilla Group,Sotheby's,http://upload.wikimedia.org/wikipedia/en/thumb/9/9c/Gar%C3%A7on_%C3%A0_la_pipe.jpg/95px-Gar%C3%A7on_%C3%A0_la_pipe.jpg,http://en.wikipedia.org/wiki/Gar%C3%A7on_%C3%A0_la_pipe,http://en.wikipedia.org/wiki/Pablo_Picasso,"Garçon à la Pipe (English: Boy with a Pipe) is a painting by Pablo Picasso. It was painted in 1905 when Picasso was 24 years old, during his Rose Period, soon after he settled in the Montmartre section of Paris, France. The oil on canvas painting depicts a Parisian boy holding a pipe in his left hand and wearing a garland or wreath of flowers.",2500,130600000 ,104200000,21
Green Car Crash (Green Burning Car I),21,Andy Warhol,1963,"$81,800,000 ","$71,700,000 ",16/05/2007,2007,"Private collection, Zürich",Philip Niarchos,Christie's,http://www.thecityreview.com/s07cco1b.jpg,http://en.wikipedia.org/wiki/Green_Car_Crash,,"Green Car Crash (Green Burning Car I) is a painting by the American artist Andy Warhol. In May 16, 2007 at 7 P.M, it sold for $71.7m (£42.3m) at auction.",2500,81800000 ,71700000,22
Irises,1,Vincent van Gogh,1889,"$110,700,000 ","$53,900,000 ",11/11/87,1987,Son of Joan Whitney Payson,Alan Bond,Sotheby's,http://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Irises-Vincent_van_Gogh.jpg/95px-Irises-Vincent_van_Gogh.jpg,http://en.wikipedia.org/wiki/Irises_(painting),,"Irises is one of many paintings and prints of irises by the Dutch artist Vincent van Gogh. Irises was painted while Vincent van Gogh was living at the asylum at Saint Paul-de-Mausole in Saint-Rémy-de-Provence, France, in the last year before his death in 1890.",2500,110700000 ,53900000,23
Le Bassin aux Nymphéas,20,Claude Monet,1919,"$87,300,000 ","$80,500,000 ",24/06/2008,2008,J. Irwin and Xenia S. Miller,,Christie's,http://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Le_bassin_aux_nymph%C3%A9as_-_Claude_Monet.jpg/95px-Le_bassin_aux_nymph%C3%A9as_-_Claude_Monet.jpg,http://en.wikipedia.org/wiki/Le_Bassin_Aux_Nymph%C3%A9as,http://en.wikipedia.org/wiki/Claude_Monet,Le Bassin Aux Nymphéas (Water Lily Pond; 1919) is one of the series of Water Lilies paintings by FrenchimpressionistartistClaude Monet. It is an oil on canvas painting measuring 100.4 × 201 cm (39½ × 79⅛ in).,2500,87300000 ,80500000,24
Le Rêve,5,Pablo Picasso,1932,"$157,900,000 ","$155,000,000 ",26/03/2013,2013,Steve Wynn,Steven A. Cohen,Private sale,http://upload.wikimedia.org/wikipedia/en/9/9d/Le-reve-1932.jpg,http://en.wikipedia.org/wiki/Le_R%C3%AAve_(painting),http://en.wikipedia.org/wiki/Pablo_Picasso,"Le Rêve (French,""The Dream"") is a 1932 oil painting (130 × 97 cm) by Pablo Picasso, then 50 years old, portraying his 22-year-old mistress Marie-Thérèse Walter. It is said to have been painted in one afternoon, on 24 January 1932. It belongs to Picasso's period of distorted depictions, with its oversimplified outlines and contrasted colors resembling early Fauvism.",2500,157900000 ,155000000,25
Les Noces de Pierrette,3,Pablo Picasso,1905,"$92,900,000 ","$49,300,000 ",30/11/1989,1989,Fredrik Roos (sv),Tomonori Tsurumaki,Binoche et Godeau Paris,http://upload.wikimedia.org/wikipedia/en/3/34/Lesnoces.JPG,http://en.wikipedia.org/wiki/Les_Noces_de_Pierrette,http://en.wikipedia.org/wiki/Pablo_Picasso,"Les Noces de Pierrette (English:The marriage of Pierrette) is a painting by the Spanish artist and sculptor, Pablo Picasso. Painted in 1905, during Picasso's Blue Period; a time when the artist faced poverty and depression following the suicide of his friend Carlos Casagemas in 1901.",2500,92900000 ,49300000,26
Massacre of the Innocents,6,Peter Paul Rubens,1611,"$101,000,000 ","$76,700,000 ",10/7/02,2002,Austrian family,Kenneth Thomson,Sotheby's,http://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/0_Le_Massacre_des_Innocents_d%27apr%C3%A8s_P.P._Rubens_-_Mus%C3%A9es_royaux_des_beaux-arts_de_Belgique_%282%29.JPG/95px-0_Le_Massacre_des_Innocents_d%27apr%C3%A8s_P.P._Rubens_-_Mus%C3%A9es_royaux_des_beaux-arts_de_Belgique_%282%29.JPG,http://en.wikipedia.org/wiki/Massacre_of_the_Innocents_(Rubens),http://en.wikipedia.org/wiki/Peter_Paul_Rubens,"The Massacre of the Innocents is the subject of two paintings by Peter Paul Rubens depicting the episode of the biblical Massacre of the Innocents of Bethlehem, as related in the Gospel of Matthew.",2500,101000000 ,76700000,27
Men in Her Life,37,Andy Warhol,1962,"$68,700,000 ","$63,400,000 ",8/11/10,2010,Jose Mugrabi,,Phillips de Pury & Company,https://www.phillips.com/xigen/lotimg/andy-warhol/NY010710/15,http://en.wikipedia.org/wiki/Men_in_Her_Life_(Painting),,"Men in Her Life is a 1962 painting by Andy Warhol. It is a black and white painting inspired by the life of Elizabeth Taylor, a seven foot tall creation of the artist.",2500,68700000 ,63400000,28
No 1 (Royal Red and Blue),36,Mark Rothko,1954,"$77,000,000 ","$75,100,000 ",13/11/2012,2012,John and Anne Marion,,Sotheby's,http://www.markrothko.org/wp-content/uploads/2014/07/No-1-royal-red-and-blue-Mark-Rothko.jpg,http://en.wikipedia.org/wiki/No_1_(Royal_Red_and_Blue),,"No 1 (Royal Red and Blue) is a 1954 Color Field painting by the Abstract expressionist artist Mark Rothko. In November 2012, the painting sold for US$75.1 million (£47.2m) at a Sotheby's auction.",2500,77000000 ,75100000,29
"No. 5, 1948",1,Jackson Pollock,1948,"$164,700,000 ","$140,000,000 ",2/11/06,2006,David Geffen,David Martinez,Private sale,https://www.jackson-pollock.org/images/paintings/number-5.jpg,"http://en.wikipedia.org/wiki/No._5,_1948",http://en.wikipedia.org/wiki/Jackson_Pollock,"No. 5, 1948 is a painting by Jackson Pollock, an American painter known for his contributions to the abstract expressionist movement.",2500,164700000 ,140000000,30
Nude Sitting on a Divan,33,Amedeo Modigliani,1917,"$74,700,000 ","$69,000,000 ",2/11/10,2010,Halit Cıngıllıoglu,,Sotheby's,http://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Amedeo_Modigliani_063.jpg/95px-Amedeo_Modigliani_063.jpg,http://en.wikipedia.org/wiki/Nude_Sitting_on_a_Divan,http://en.wikipedia.org/wiki/Amedeo_Modigliani,"Nude Sitting on a Divan (The Beautiful Roman Woman) is an oil on canvas painting by Italian artist Amedeo Modigliani depicting a partially draped woman seated with crossed legs against a warm red background. The work was one of a series of nudes painted by Modigliani in 1917 that created a sensation when exhibited in Paris that year. On November 2, 2010, the painting sold at a New York auction for $68.9 million, a record price for an artwork by Modigliani.",2500,74700000 ,69000000,31
"Nude, Green Leaves and Bust",8,Pablo Picasso,1932,"$115,700,000 ","$106,500,000 ",4/5/10,2010,Frances Lasker Brody estate,,Christie's,http://upload.wikimedia.org/wikipedia/en/2/2b/Nude_Green_Leaves_and_Bust_by_Picasso.jpg,"http://en.wikipedia.org/wiki/Nude,_Green_Leaves_and_Bust",http://en.wikipedia.org/wiki/Pablo_Picasso,"Nude, Green Leaves and Bust (French: Nu au Plateau de Sculpteur) is a 1932 painting by Pablo Picasso, featuring his mistress Marie-Thérèse Walter.",2500,115700000 ,106500000,32
"Orange, Red, Yellow",26,Mark Rothko,1961,"$89,600,000 ","$86,900,000 ",8/5/12,2012,Estate of David Pincus,,Christie's,http://www.markrothko.org/images/paintings/orange-red-yellow.jpg,"http://en.wikipedia.org/wiki/Orange,_Red,_Yellow",http://en.wikipedia.org/wiki/Mark_Rothko,"Orange, Red, Yellow is a 1961 Color Field painting by Mark Rothko. It sold at Christies for $86,882,500 on May 8, 2012. The seller was the estate of David Pincus and the sale price represents a record nominal price for Post-War / contemporary art at public auction and for Rothko works in general.",2500,89600000 ,86900000,33
Peasant Woman Against a Background of Wheat,12,Vincent van Gogh,1890,"$70,200,000 ","$47,500,000 ",19/06/1905,1905,,Steve Wynn,Private sale,http://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Vincent_Willem_van_Gogh_097.jpg/95px-Vincent_Willem_van_Gogh_097.jpg,http://en.wikipedia.org/wiki/Peasant_Woman_Against_a_Background_of_Wheat,,Peasant Woman Against a Background of Wheat is an 1890 painting by Vincent van Gogh. Van Gogh went on to paint several versions of this painting.,2500,70200000 ,47500000,34
Police Gazette,20,Willem de Kooning,1955,"$74,600,000 ","$63,500,000 ",12/10/06,2006,David Geffen,Steven A. Cohen,Private sale,http://webneel.com/daily/sites/default/files/images/daily/10-2013/27-most-expensive-painting-police-gazette.jpg,,,,2500,74600000 ,63500000,35
Portrait de l'artiste sans barbe,5,Vincent van Gogh,1889,"$103,400,000 ","$71,500,000 ",19/11/1998,1998,Heirs of Jacques Koerfer,,Christie's,http://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Vincent_Willem_van_Gogh_102.jpg/95px-Vincent_Willem_van_Gogh_102.jpg,http://en.wikipedia.org/wiki/Self-Portraits_by_Vincent_van_Gogh,http://en.wikipedia.org/wiki/Vincent_van_Gogh,"The dozens of self-portraits by Vincent van Gogh were an important part of his oeuvre as a painter. Vincent van Gogh (1853–1890) created many self-portraits during his lifetime. Most probably, Van Gogh's self-portraits are depicting the face as it appeared in the mirror he used to reproduce his face, i.e. his right side in the image is in reality the left side of his face.",2500,103400000 ,71500000,36
Portrait of a Halberdier,5,Pontormo,1537,"$67,400,000 ","$35,200,000 ",31/05/1989,1989,Chauncey Devereaux Stillman,Getty Museum,Christie's,http://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Pontormo_%28Jacopo_Carucci%29_%28Italian%2C_Florentine%29_-_Portrait_of_a_Halberdier_%28Francesco_Guardi%3F%29_-_Google_Art_Project.jpg/95px-Pontormo_%28Jacopo_Carucci%29_%28Italian%2C_Florentine%29_-_Portrait_of_a_Halberdier_%28Francesco_Guardi%3F%29_-_Google_Art_Project.jpg,,http://en.wikipedia.org/wiki/Pontormo,,2500,67400000 ,35200000,37
Portrait of Adele Bloch-Bauer I,14,Gustav Klimt,1907,"$157,700,000 ","$135,000,000 ",18/06/2006,2006,Maria Altmann,"Ronald Lauder, Neue Galerie",Private sale,http://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Gustav_Klimt_046.jpg/95px-Gustav_Klimt_046.jpg,http://en.wikipedia.org/wiki/Portrait_of_Adele_Bloch-Bauer_I,http://en.wikipedia.org/wiki/Gustav_Klimt,"Portrait of Adele Bloch-Bauer I is a 1907 painting by Gustav Klimt. The first of two portraits Klimt painted of Bloch-Bauer, it has been referred to as the final and most fully representative work of his golden phase.",2500,157700000 ,135000000,38
"Portrait of Alfonso d'Avalos, Marquis of Vasto, in Armor with a Page",10,Titian,1533,"$90,000,000 ","$70,000,000 ",1/11/03,2003,AXA insurance company,Getty Museum,Private sale,http://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Titian_-_Marchese_del_Vasto.jpg/95px-Titian_-_Marchese_del_Vasto.jpg,,http://en.wikipedia.org/wiki/Titian,,2500,90000000 ,70000000,39
Portrait of Dr. Gachet,1,Vincent van Gogh,1890,"$151,400,000 ","$82,500,000 ",15/05/1990,1990,Siegfried Kramarsky family,Ryoei Saito.,Christie's,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Portrait_of_Dr._Gachet.jpg/95px-Portrait_of_Dr._Gachet.jpg,http://en.wikipedia.org/wiki/Portrait_of_Dr._Gachet,http://en.wikipedia.org/wiki/Vincent_van_Gogh,"Portrait of Dr. Gachet is one of the most revered paintings by the Dutch artist Vincent van Gogh. It depicts Dr. Paul Gachet who took care of Van Gogh during the final months of his life. There are two authenticated versions of the portrait, both painted in June 1890 at Auvers-sur-Oise. Both show Gachet sitting at a table and leaning his head on his right arm but they are easily differentiated in color and style. In 1990, the first version fetched a record price of $82.5 million ($75 million, plus a 10 percent buyer's commission) when sold at auction in New York. When accounting for inflation, this is still the highest price paid for art at a public auction.",2500,151400000 ,82500000,40
Portrait of Joseph Roulin,1,Vincent van Gogh,1889,"$112,000,000 ","$58,000,000 ",1/8/89,1989,"Private collection, Zürich",Museum of Modern Art New York,Private sale,http://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Vincent_van_Gogh_-_Portrait_of_Joseph_Roulin.jpg/95px-Vincent_van_Gogh_-_Portrait_of_Joseph_Roulin.jpg,,http://en.wikipedia.org/wiki/Vincent_van_Gogh,,2500,112000000 ,58000000,41
"Rideau, Cruchon et Compotier",9,Paul Cézanne,1894,"$86,300,000 ","$60,500,000 ",10/5/99,1999,Whitney Family,,Sotheby's,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Paul_C%C3%A9zanne_169.jpg/1200px-Paul_C%C3%A9zanne_169.jpg,"http://en.wikipedia.org/wiki/Rideau,_Cruchon_et_Compotier",,"Rideau, Cruchon et Compotier is a painting created circa 1893 to 1894 by FrenchartistPaul Cézanne (19 January 1839 – 22 October 1906). It is considered the most expensivestill life ever sold at an auction.",2500,86300000 ,60500000,42
Salvator Mundi,1,Leonardo Da Vinci,1490,"$78,900,000 ","$77,500,000 ",1/5/13,2013,Robert Simon,Anonymous,Private sale,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Leonardo_da_Vinci_or_Boltraffio_%28attrib%29_Salvator_Mundi_circa_1500.jpg/95px-Leonardo_da_Vinci_or_Boltraffio_%28attrib%29_Salvator_Mundi_circa_1500.jpg,http://en.wikipedia.org/wiki/Salvator_Mundi_(Leonardo),http://en.wikipedia.org/wiki/Leonardo_Da_Vinci,"Salvator Mundi is a painting of Christ as Salvator Mundi recently attributed to Leonardo da Vinci, who is known to have painted the subject. It was lost and later rediscovered, and restored and exhibited in 2011. The painting shows Christ, in Renaissance garb, giving a benediction with his raised right hand and crossed fingers while holding a crystal sphere in his left hand.",2500,78900000 ,77500000,43
Silver Car Crash (Double Disaster),20,Andy Warhol,1963,"$107,200,000 ","$105,400,000 ",13/11/2013,2013,,,Sotheby's,http://www.theartwolf.com/news/images/warhol-silver-car-crash-double-disaster.jpg,http://en.wikipedia.org/wiki/Silver_Car_Crash_(Double_Disaster),,"Silver Car Crash (Double Disaster) is a 1963 painting by the American artist Andy Warhol. In November 2013 it sold for $105m (£65.5m) at auction, setting a new highest price for a painting by Warhol.",2500,107200000 ,105400000,44
Suprematist Composition,34,Kazimir Malevich,1916,"$67,000,000 ","$60,000,000 ",3/11/08,2008,Heirs of Kazimir Malevich,,Sotheby's,http://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Suprematist_Composition_-_Kazimir_Malevich.jpg/95px-Suprematist_Composition_-_Kazimir_Malevich.jpg,http://en.wikipedia.org/wiki/Suprematist_Composition,http://en.wikipedia.org/wiki/Kazimir_Malevich,"Suprematist Composition (blue rectangle over the red beam) is a painting by Kazimir Malevich, a Russian painter known as a pioneer of geometric abstraction. The painting represents a constellation of geometry and color in space with remarkable austerity.",2500,67000000 ,60000000,45
The Gross Clinic,21,Thomas Eakins,1875,"$78,000,000 ","$68,000,000 ",12/4/07,2007,Thomas Jefferson University,Philadelphia Museum of Art,Private sale,http://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Thomas_Eakins%2C_American_-_Portrait_of_Dr._Samuel_D._Gross_%28The_Gross_Clinic%29_-_Google_Art_Project.jpg/95px-Thomas_Eakins%2C_American_-_Portrait_of_Dr._Samuel_D._Gross_%28The_Gross_Clinic%29_-_Google_Art_Project.jpg,http://en.wikipedia.org/wiki/The_Gross_Clinic,http://en.wikipedia.org/wiki/Thomas_Eakins,"The Gross Clinic, or, The Clinic of Dr. Gross, is an 1875 painting by American artist Thomas Eakins. It is oil on canvas and measures 8 feet (240 cm) by 6.5 feet (200 cm). Dr. Samuel D. Gross, a seventy-year-old professor dressed in a black frock coat, lectures a group of Jefferson Medical College students. Included among the group is a self-portrait of Eakins, who is seated to the right of the tunnel railing, sketching or writing. Seen over Dr. Gross's right shoulder is the clinic clerk, Dr. Franklin West, taking notes on the operation. Eakins's signature is painted into the painting, on the front of the surgical table.",2500,78000000 ,68000000,47
